index,source_file,output_file,injection_type,framework,base_payload,variant_used,insertion_strategy,obfuscation_strategy,seed,timestamp
0,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,xfa_acroform_injection_AMTSO_0000.pdf,xfa_acroform_injection,AMTSO,EICAR,X5O!p%@ap[4\pzx54(p^)7cc)7}$eicar-standard-antivirus-test-file!$h+h*,before_final_eof,n/a,42,2026-07-19T07:34:39.081102
1,0a29925ccc5e6299e132a73325956a3abef6dd26.pdf,javascript_injection_WICAR_0001.pdf,javascript_injection,WICAR,EICAR,eicar-standard-antivirus-test-file!$h+h* x5o!p%@ap[4\pzx54(p^)7cc)7}$,after_first_endobj,js_plain,42,2026-07-19T07:34:39.086525
2,0e21835a42a6df2405496f62647058ff855743c1.pdf,polyglot_file_Glasswall_0002.pdf,polyglot_file,Glasswall,EICAR,$H+$H* X5O!p%@ap[4\pzx54(p^)7cc)7}$Eicar-standard-antivirus-test-file! x5o,before_final_eof,n/a,42,2026-07-19T07:34:39.353552
3,11613a97cef51ad28635fdd86915e74d94cff227.pdf,llm_prompt_injection_custom_0003.pdf,llm_prompt_injection,custom,WICAR,WICAR_Browser_Test_Payload_Calc_EXE_SAFE,before_final_eof,n/a,42,2026-07-19T07:36:25.541395
4,12851f0053449570257ff3dfe552621a8dd63d53.pdf,cross_site_scripting_OWASP_0004.pdf,cross_site_scripting,OWASP,WICAR,Safe_WICAR-BROWSER-TEST-PAYLOAD-CALC-EXE,before_trailer,n/a,42,2026-07-19T07:36:25.609623
5,17815074de3c9f8af9a5051978a72e2a83f1d18d.pdf,shellcode_embedded_exe_Metasploit_0005.pdf,shellcode_embedded_exe,Metasploit,WICAR,WICAR_Browser_test_payload_calc_exe_safe,after_first_endobj,n/a,42,2026-07-19T07:36:25.696710
6,183c0f6a2a452dabc05e8eeba962c7b49ad10a62.pdf,steganographic_payload_Glasswall_0006.pdf,steganographic_payload,Glasswall,WICAR,WICAR_Browser_Test_Payload_Calc_EXE_Safe,before_trailer,n/a,42,2026-07-19T07:38:11.590836
7,1dcf57a5007b56254583423ba31107d22459bccf.pdf,cross_site_scripting_OWASP_0007.pdf,cross_site_scripting,OWASP,WICAR,Safe_WICAR_Browser-Test-Payload-Calc-Exe,after_first_endobj,n/a,42,2026-07-19T07:38:11.679370
8,1e8c2332a461a3a142840fa477fa907c66c35dac.pdf,dde_template_injection_AMTSO_0008.pdf,dde_template_injection,AMTSO,WICAR,Wicar-Browser-Test-Payload-Calc-Exe-Safe-Version1,before_trailer,n/a,42,2026-07-19T07:38:11.814627
9,201ab28823c4a10ca391e800642e9cf381737ed2.pdf,object_action_injection_AMTSO_0009.pdf,object_action_injection,AMTSO,AMTSO,AMTSO_POTENTIALLY_UNWANTED_TEST_FILE_NOT_DANGEROUS,before_trailer,n/a,42,2026-07-19T07:39:41.709521
10,22ZOCVPAF2GSGXR357RM7UT4Z22RS2LH.pdf,llm_prompt_injection_AtomicRedTeam_0010.pdf,llm_prompt_injection,AtomicRedTeam,AMTSO,AMTSO_Potentially_Unwanted_Test_File_Not_Dangerous,after_first_endobj,n/a,42,2026-07-19T07:39:41.712728
11,23JCEIKVL65X2RGSARNY2VOUNXBTJ5AS.pdf,ransomware_simulation_RanSim_0011.pdf,ransomware_simulation,RanSim,AMTSO,SafeTestFile_AMTSO_POTENTIALLY_UNWANTED_NOT_DANGEROUS,after_first_endobj,js_unescape,42,2026-07-19T07:39:41.784717
12,2544CYX3TC3T5QB2NTVXD3IUFM654GXK.pdf,ssrf_Metasploit_0012.pdf,ssrf,Metasploit,AMTSO,AMTSO-potentially-unwanted-test-file-not-dangerous,after_first_endobj,n/a,42,2026-07-19T07:41:23.748803
13,27UIROOYZ4IE3FKKNAPCKEQXWBKKN7XM.pdf,cross_site_scripting_WICAR_0013.pdf,cross_site_scripting,WICAR,AMTSO,AMTSO_POTENTIALLY_UNWANTED_TEST_FILE_NOT_DANGEROUS,before_final_eof,n/a,42,2026-07-19T07:41:23.749555
14,281928eff64137efdd144a833c81ad0ee45284c1.pdf,steganographic_payload_mindcrypt_0014.pdf,steganographic_payload,mindcrypt,AMTSO,SafeTestFile_AMTSO-POTENTIALLY-UNWANTED-TEST-FILE-NOT-DANGEROUS,after_first_endobj,n/a,42,2026-07-19T07:41:24.081792
